Experiment;Runs;Death Costs;Avg. Swings;Avg. Deaths;Avg. Interventions
Layabout;0;-;69.169;0;69.225
PreShielded;1500;-;38.181;0;0.839
NoShield;1500;1000;40.766;0.017;0
NoShield;1500;100;42.186;0.246;0
NoShield;1500;10;6.472;5.046;0
PreShielded;3000;-;37.539;0;0.678
PreShielded;6000;-;37.095;0;0.258
NoShield;6000;1000;41.775;0.009;0
NoShield;6000;100;40.381;0.1;0
NoShield;6000;10;0;5.049;0
Layabout;0;-;69.25;0;69.123
PreShielded;1500;-;40.144;0;0.551
PreShielded;3000;-;38.109;0;0.444
NoShield;3000;1000;43.153;0.049;0
NoShield;3000;100;39.294;0.016;0
NoShield;3000;10;0;5.049;0
PostShielded;3000;1000;67.982;0;52.825
PostShielded;3000;100;58.985;0;29.526
PostShielded;3000;10;69.201;0;69.266
PreShielded;6000;-;37.053;0;0.203
NoShield;6000;1000;38.832;0.005;0
NoShield;6000;100;40.852;0.041;0
NoShield;6000;10;0.033;5.067;0
PostShielded;6000;1000;62.996;0;38.707
PostShielded;6000;100;66.51;0;48.371
PostShielded;6000;10;69.277;0;69.204
Layabout;0;-;69.166;0;69.229
PreShielded;1500;-;37.812;0;1.794
NoShield;1500;1000;40.427;0.004;0
NoShield;1500;100;41.336;0.133;0
NoShield;1500;10;0.042;5.05;0
PostShielded;1500;1000;62.913;0;38.829
PostShielded;1500;100;65.811;0;47.158
PostShielded;1500;10;69.056;0;69.178
PreShielded;3000;-;38.067;0;0.734
NoShield;3000;1000;40.168;0.02;0
NoShield;3000;100;43.337;0.193;0
NoShield;3000;10;0.346;5.059;0
PreShielded;6000;-;37.001;0;0.154
NoShield;6000;1000;38.918;0.006;0
NoShield;6000;100;40.853;0.033;0
NoShield;6000;10;0.004;5.052;0
PostShielded;6000;1000;63.335;0;40.057
PostShielded;6000;100;65.63;0;45.664
PostShielded;6000;10;69.111;0;69.243
Layabout;0;-;69.248;0;69.237
PreShielded;1500;-;40.133;0;2.678
NoShield;1500;1000;39.877;0;0
NoShield;1500;100;39.415;0.015;0
NoShield;1500;10;5.667;5.046;0
PostShielded;1500;1000;56.965;0;24.85
PostShielded;1500;100;63.884;0;39.513
PostShielded;1500;10;77.462;0;69.169
PreShielded;3000;-;38.14;0;1.307
NoShield;3000;1000;44.833;0.048;0
NoShield;3000;100;40.983;0.034;0
NoShield;3000;10;0.005;5.043;0
PostShielded;3000;1000;71.334;0;35.092
PostShielded;3000;100;66.606;0;47.658
PostShielded;3000;10;69.27;0;69.186
PreShielded;6000;-;37.391;0;0.39
Layabout;0;-;69.214;0;69.139
PreShielded;1500;-;38.211;0;0.477
NoShield;1500;1000;43.536;0.025;0
NoShield;1500;100;43.078;0.125;0
NoShield;1500;10;0;5.046;0
PostShielded;1500;1000;56.504;0;21.12
PostShielded;1500;100;67.606;0;51.271
PostShielded;1500;10;69.187;0;69.305
NoShield;3000;1000;38.695;0;0
NoShield;3000;100;42.318;0.099;0
NoShield;3000;10;0.116;5.055;0
PostShielded;3000;1000;53.526;0;20.573
PostShielded;3000;100;67.822;0;51.542
PostShielded;3000;10;69.18;0;69.234
PreShielded;6000;-;37.251;0;0.283
